saul_sample,param,sample,date,time,tank_side,of_start,no_start,fps,adj_top_of,adj_top_no,adj_right_of,adj_right_no,of_end,no_end,assay,quadrant,intensity_floor,intensity_ceiling,area_floor,area_ceiling,bgsub,num_animals,cab_coords
20191111_1527_5-1_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q1,0,160,25,5000,True,2,Left
20191111_1527_5-1_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q2,0,160,25,5000,True,2,Right
20191111_1527_5-1_L_A__novel_object__q3,int_max_140,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q3,0,140,100,5000,True,2,Top
20191111_1527_5-1_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q4,0,160,25,5000,True,2,Right
20191111_1527_5-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q1,0,170,10,5000,False,2,Right
20191111_1527_5-1_L_A__open_field__q2,default,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q2,0,200,100,5000,True,2,Left
20191111_1527_5-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q3,0,170,10,5000,False,2,Left
20191111_1527_5-1_L_A__open_field__q4,default,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q4,0,200,100,5000,True,2,Left
20191111_1558_10-1_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q1,0,160,25,5000,True,2,Left
20191111_1558_10-1_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q2,0,160,25,5000,True,2,Top
20191111_1558_10-1_L_A__novel_object__q3,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q3,0,160,25,5000,True,2,Bottom
20191111_1558_10-1_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q4,0,160,25,5000,True,2,Left
20191111_1558_10-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q1,0,170,10,5000,False,2,Left
20191111_1558_10-1_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q2,0,150,10,5000,False,2,Top
20191111_1558_10-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q3,0,170,10,5000,False,2,Right
20191111_1558_10-1_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q4,0,170,10,5000,False,2,Top
20191111_1627_11-1_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q1,0,160,25,5000,True,2,Right
20191111_1627_11-1_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q2,0,160,25,5000,True,2,Bottom
20191111_1627_11-1_L_A__novel_object__q3,no_bg_sub_int_max_180_area_min_100,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q3,0,180,100,2000,False,2,Top
20191111_1627_11-1_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q4,0,160,25,5000,True,2,Top
20191111_1627_11-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q1,0,170,10,5000,False,2,Bottom
20191111_1627_11-1_L_A__open_field__q2,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q2,0,170,10,5000,False,2,Left
20191111_1627_11-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q3,0,170,10,5000,False,2,Bottom
20191111_1627_11-1_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q4,0,170,10,5000,False,2,Right
20191111_1655_11-2_L_A__novel_object__q1,area_min_25,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q1,0,200,25,5000,True,2,Right
20191111_1655_11-2_L_A__novel_object__q2,area_min_25,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q2,0,200,25,5000,True,2,Right
20191111_1655_11-2_L_A__novel_object__q3,int_max_150,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q3,0,150,100,5000,True,2,Top
20191111_1655_11-2_L_A__novel_object__q4,no_bg_sub,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q4,0,170,150,2000,False,2,Right
20191111_1655_11-2_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q1,0,170,10,5000,False,2,Right
20191111_1655_11-2_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q2,0,150,10,5000,False,2,Left
20191111_1655_11-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q3,0,150,10,5000,False,2,Bottom
20191111_1655_11-2_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q4,0,170,10,5000,False,2,Bottom
20191111_1724_iCab_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,novel_object,q1,0,160,25,5000,True,2,NA
20191111_1724_iCab_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,novel_object,q2,0,160,25,5000,True,2,NA
20191111_1724_iCab_L_A__novel_object__q3,int_max_160_area_min_25,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,novel_object,q3,0,160,25,5000,True,2,NA
20191111_1724_iCab_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,novel_object,q4,0,160,25,5000,True,2,NA
20191111_1724_iCab_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,open_field,q1,0,150,10,5000,False,2,NA
20191111_1724_iCab_L_A__open_field__q2,no_bg_sub_area_min_10,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,open_field,q2,0,170,10,5000,False,2,NA
20191111_1724_iCab_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,open_field,q3,0,150,10,5000,False,2,NA
20191111_1724_iCab_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1724_iCab_L_A,20191111,1724,L,2391,21265,29,-16,-16,4,4,19791,38665,open_field,q4,0,170,10,5000,False,2,NA
20191112_0948_4-2_L_A__novel_object__q1,int_max_140,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,novel_object,q1,0,140,100,5000,True,2,Bottom
20191112_0948_4-2_L_A__novel_object__q2,int_max_160_area_min_25,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,novel_object,q2,0,160,25,5000,True,2,Bottom
20191112_0948_4-2_L_A__novel_object__q3,int_max_140,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,novel_object,q3,0,140,100,5000,True,2,Top
20191112_0948_4-2_L_A__novel_object__q4,no_bg_sub_int_max_160,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,novel_object,q4,0,160,150,2000,False,2,Left
20191112_0948_4-2_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,open_field,q1,0,150,10,5000,False,2,Top
20191112_0948_4-2_L_A__open_field__q2,no_bg_sub_area_min_10,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,open_field,q2,0,170,10,5000,False,2,Left
20191112_0948_4-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,open_field,q3,0,150,10,5000,False,2,Right
20191112_0948_4-2_L_A__open_field__q4,no_bg_sub_area_min_10,20191112_0948_4-2_L_A,20191112,948,L,2596,22036,29,-13,-13,0,0,19996,39436,open_field,q4,0,170,10,5000,False,2,Right
20191112_1025_13-2_L_A__novel_object__q1,int_max_160_area_min_25,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,novel_object,q1,0,160,25,5000,True,2,Bottom
20191112_1025_13-2_L_A__novel_object__q2,int_max_140,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,novel_object,q2,0,140,100,5000,True,2,Top
20191112_1025_13-2_L_A__novel_object__q3,int_max_160_area_min_25,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,novel_object,q3,0,160,25,5000,True,2,Bottom
20191112_1025_13-2_L_A__novel_object__q4,int_max_140,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,novel_object,q4,0,140,100,5000,True,2,Bottom
20191112_1025_13-2_L_A__open_field__q1,no_bg_sub_area_min_10,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,open_field,q1,0,170,10,5000,False,2,Right
20191112_1025_13-2_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,open_field,q2,0,150,10,5000,False,2,Bottom
20191112_1025_13-2_L_A__open_field__q3,no_bg_sub_area_min_10,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,open_field,q3,0,170,10,5000,False,2,Right
20191112_1025_13-2_L_A__open_field__q4,no_bg_sub_area_min_10,20191112_1025_13-2_L_A,20191112,1025,L,2078,21080,30,-4,-4,2,2,20078,39080,open_field,q4,0,170,10,5000,False,2,Top
20191112_1053_14-1_L_A__novel_object__q1,int_max_150,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,novel_object,q1,0,150,100,5000,True,2,Left
20191112_1053_14-1_L_A__novel_object__q2,int_max_160_area_min_25,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,novel_object,q2,0,160,25,5000,True,2,Top
20191112_1053_14-1_L_A__novel_object__q3,no_bg_sub,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,novel_object,q3,0,170,150,2000,False,2,Right
20191112_1053_14-1_L_A__novel_object__q4,int_max_160_area_min_25,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,novel_object,q4,0,160,25,5000,True,2,Left
20191112_1053_14-1_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,open_field,q1,0,150,10,5000,False,2,Right
20191112_1053_14-1_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,open_field,q2,0,150,10,5000,False,2,Right
20191112_1053_14-1_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,open_field,q3,0,150,10,5000,False,2,Top
20191112_1053_14-1_L_A__open_field__q4,default,20191112_1053_14-1_L_A,20191112,1053,L,1978,21113,29,-2,-2,2,2,19378,38513,open_field,q4,0,200,100,5000,True,2,Left
20191112_1129_14-2_L_A__novel_object__q1,no_bg_sub_int_max_160,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,novel_object,q1,0,160,150,2000,False,2,Left
20191112_1129_14-2_L_A__novel_object__q2,no_bg_subint_max_175_area_min_200,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,novel_object,q2,0,175,200,2000,True,2,Right
20191112_1129_14-2_L_A__novel_object__q3,no_bg_sub_int_max_180_area_min_100,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,novel_object,q3,0,180,100,2000,False,2,Left
20191112_1129_14-2_L_A__novel_object__q4,int_max_160_area_min_25,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,novel_object,q4,0,160,25,5000,True,2,Top
20191112_1129_14-2_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,open_field,q1,0,150,10,5000,False,2,Right
20191112_1129_14-2_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,open_field,q2,0,150,10,5000,False,2,Top
20191112_1129_14-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,open_field,q3,0,150,10,5000,False,2,Bottom
20191112_1129_14-2_L_A__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191112_1129_14-2_L_A,20191112,1129,L,1609,21180,30,-8,-8,-3,-3,19609,39180,open_field,q4,0,150,10,5000,False,2,Right
20191112_1206_15-1_L_A__novel_object__q1,int_max_160_area_min_25,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,novel_object,q1,0,160,25,5000,True,2,Right
20191112_1206_15-1_L_A__novel_object__q2,int_max_140,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,novel_object,q2,0,140,100,5000,True,2,Left
20191112_1206_15-1_L_A__novel_object__q3,int_max_140,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,novel_object,q3,0,140,100,5000,True,2,Top
20191112_1206_15-1_L_A__novel_object__q4,int_max_160_area_min_25,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,novel_object,q4,0,160,25,5000,True,2,Bottom
20191112_1206_15-1_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,open_field,q1,0,150,10,5000,False,2,Right
20191112_1206_15-1_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,open_field,q2,0,150,10,5000,False,2,Right
20191112_1206_15-1_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,open_field,q3,0,150,10,5000,False,2,Bottom
20191112_1206_15-1_L_A__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191112_1206_15-1_L_A,20191112,1206,L,1844,21214,30,-9,-9,1,1,19844,39214,open_field,q4,0,150,10,5000,False,2,Top
20191112_1236_18-2_L_A__novel_object__q1,no_bg_sub_int_max_160,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,novel_object,q1,0,160,150,2000,False,2,Left
20191112_1236_18-2_L_A__novel_object__q2,int_max_150,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,novel_object,q2,0,150,100,5000,True,2,Bottom
20191112_1236_18-2_L_A__novel_object__q3,int_max_160_area_min_25,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,novel_object,q3,0,160,25,5000,True,2,Right
20191112_1236_18-2_L_A__novel_object__q4,default,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,novel_object,q4,0,200,100,5000,True,2,Bottom
20191112_1236_18-2_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,open_field,q1,0,150,10,5000,False,2,Bottom
20191112_1236_18-2_L_A__open_field__q2,no_bg_sub_area_min_10,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,open_field,q2,0,170,10,5000,False,2,Top
20191112_1236_18-2_L_A__open_field__q3,no_bg_sub_area_min_10,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,open_field,q3,0,170,10,5000,False,2,Right
20191112_1236_18-2_L_A__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191112_1236_18-2_L_A,20191112,1236,L,1911,21281,29,-10,-10,0,0,19311,38681,open_field,q4,0,150,10,5000,False,2,Left
20191112_1303_17-1_L_A__novel_object__q1,int_max_160_area_min_25,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,novel_object,q1,0,160,25,5000,True,2,Right
20191112_1303_17-1_L_A__novel_object__q2,default,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,novel_object,q2,0,200,100,5000,True,2,Left
20191112_1303_17-1_L_A__novel_object__q3,no_bg_sub_int_max_160,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,novel_object,q3,0,160,150,2000,False,2,Top
20191112_1303_17-1_L_A__novel_object__q4,int_max_140,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,novel_object,q4,0,140,100,5000,True,2,Right
20191112_1303_17-1_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,open_field,q1,0,150,10,5000,False,2,Right
20191112_1303_17-1_L_A__open_field__q2,no_bg_sub_area_min_10,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,open_field,q2,0,170,10,5000,False,2,Left
20191112_1303_17-1_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,open_field,q3,0,150,10,5000,False,2,Right
20191112_1303_17-1_L_A__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191112_1303_17-1_L_A,20191112,1303,L,1777,20912,29,-17,-17,-3,-3,19177,38312,open_field,q4,0,150,10,5000,False,2,Right
20191112_1331_68-1_L_A__novel_object__q1,int_max_140,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,novel_object,q1,0,140,100,5000,True,2,Left
20191112_1331_68-1_L_A__novel_object__q2,int_max_160_area_min_25,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,novel_object,q2,0,160,25,5000,True,2,Left
20191112_1331_68-1_L_A__novel_object__q3,int_max_160_area_min_25,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,novel_object,q3,0,160,25,5000,True,2,Left
20191112_1331_68-1_L_A__novel_object__q4,no_bg_sub,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,novel_object,q4,0,170,150,2000,False,2,Right
20191112_1331_68-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,open_field,q1,0,170,10,5000,False,2,Top
20191112_1331_68-1_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,open_field,q2,0,150,10,5000,False,2,Bottom
20191112_1331_68-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,open_field,q3,0,170,10,5000,False,2,Top
20191112_1331_68-1_L_A__open_field__q4,no_bg_sub_area_min_10,20191112_1331_68-1_L_A,20191112,1331,L,1992,21017,30,-17,-17,-2,-2,19992,39017,open_field,q4,0,170,10,5000,False,2,Bottom
20191112_1358_23-1_L_A__novel_object__q1,no_bg_sub_int_max_160,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,novel_object,q1,0,160,150,2000,False,2,Bottom
20191112_1358_23-1_L_A__novel_object__q2,no_bg_sub_int_max_180,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,novel_object,q2,0,180,150,2000,False,2,Left
20191112_1358_23-1_L_A__novel_object__q3,int_max_140,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,novel_object,q3,0,140,100,5000,True,2,Top
20191112_1358_23-1_L_A__novel_object__q4,int_max_160_area_min_25,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,novel_object,q4,0,160,25,5000,True,2,Left
20191112_1358_23-1_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,open_field,q1,0,150,10,5000,False,2,Left
20191112_1358_23-1_L_A__open_field__q2,no_bg_sub_area_min_10,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,open_field,q2,0,170,10,5000,False,2,Top
20191112_1358_23-1_L_A__open_field__q3,no_bg_sub,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,open_field,q3,0,170,100,5000,False,2,Left
20191112_1358_23-1_L_A__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191112_1358_23-1_L_A,20191112,1358,L,1933,21060,30,-12,-12,-3,-3,19933,39060,open_field,q4,0,150,10,5000,False,2,Right
20191112_1426_59-2_L_A__novel_object__q1,int_max_160_area_min_25,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,novel_object,q1,0,160,25,5000,True,2,Right
20191112_1426_59-2_L_A__novel_object__q2,int_max_160_area_min_25,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,novel_object,q2,0,160,25,5000,True,2,Left
20191112_1426_59-2_L_A__novel_object__q3,no_bg_sub_int_max_160,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,novel_object,q3,0,160,150,2000,False,2,Bottom
20191112_1426_59-2_L_A__novel_object__q4,no_bg_sub_int_max_160,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,novel_object,q4,0,160,150,2000,False,2,Top
20191112_1426_59-2_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,open_field,q1,0,150,10,5000,False,2,Right
20191112_1426_59-2_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,open_field,q2,0,150,10,5000,False,2,Right
20191112_1426_59-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,open_field,q3,0,150,10,5000,False,2,Left
20191112_1426_59-2_L_A__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191112_1426_59-2_L_A,20191112,1426,L,1738,22204,30,-6,-6,0,0,19738,40204,open_field,q4,0,150,10,5000,False,2,Left
20191112_1456_38-2_L_A__novel_object__q1,int_max_140,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,novel_object,q1,0,140,100,5000,True,2,Bottom
20191112_1456_38-2_L_A__novel_object__q2,int_max_160_area_min_25,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,novel_object,q2,0,160,25,5000,True,2,Top
20191112_1456_38-2_L_A__novel_object__q3,int_max_160_area_min_25,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,novel_object,q3,0,160,25,5000,True,2,Top
20191112_1456_38-2_L_A__novel_object__q4,int_max_140,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,novel_object,q4,0,140,100,5000,True,2,Top
20191112_1456_38-2_L_A__open_field__q1,no_bg_sub_area_min_10,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,open_field,q1,0,170,10,5000,False,2,Bottom
20191112_1456_38-2_L_A__open_field__q2,no_bg_sub_area_min_10,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,open_field,q2,0,170,10,5000,False,2,Right
20191112_1456_38-2_L_A__open_field__q3,default,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,open_field,q3,0,200,100,5000,True,2,Top
20191112_1456_38-2_L_A__open_field__q4,no_bg_sub_area_min_10,20191112_1456_38-2_L_A,20191112,1456,L,1992,20848,30,-6,-6,0,0,19992,38848,open_field,q4,0,170,10,5000,False,2,Right
