sample,assay,quadrant,total_seconds,success_count,frame_count,prop_success
20191121_1307_outbred-system_R_C,novel_object,q3,600,16906,18000,0.9392222222222222
20191119_1427_30-1_R_C,novel_object,q1,600,16927,18000,0.9403888888888889
20191121_1130_luzonensis_L_C,novel_object,q4,600,16933,18000,0.9407222222222222
20191116_1044_43-2_R_B,novel_object,q3,600,16958,18000,0.9421111111111111
20191113_1317_140-3_R_A,novel_object,q1,600,7943,8400,0.945595238095238
20191120_1513_iCab_R_C,novel_object,q1,600,17028,18000,0.946
20191117_1150_53-2_L_B,novel_object,q1,600,17029,18000,0.9460555555555555
20191112_1722_135-2_L_A,open_field,q2,600,17041,18000,0.9467222222222222
20191121_1426_outbred-A-2_L_C,open_field,q4,600,17051,18000,0.9472777777777778
20191120_1416_iCab_R_C,open_field,q1,600,17053,18000,0.9473888888888888
20191114_0952_4-1_R_A,novel_object,q4,600,17057,18000,0.9476111111111111
20191113_1557_22-1_L_A,novel_object,q2,600,15939,16800,0.94875
20191120_1251_outbred-A-1_R_C,novel_object,q2,600,17094,18000,0.9496666666666667
20191113_1401_58-2_L_A,novel_object,q1,600,15963,16800,0.9501785714285714
20191117_1027_58-2_L_B,novel_object,q3,600,17112,18000,0.9506666666666667
20191120_1105_47-1_L_C,open_field,q1,600,17112,18000,0.9506666666666667
20191116_1438_50-2_R_B,novel_object,q4,600,17123,18000,0.9512777777777778
20191121_1239_outbred-1_R_C,novel_object,q4,600,17133,18000,0.9518333333333333
20191116_1355_33-1_L_B,open_field,q1,600,17139,18000,0.9521666666666667
20191120_1458_outbred-2_L_C,open_field,q3,600,17151,18000,0.9528333333333333
20191116_1424_137-4_L_B,novel_object,q4,600,17158,18000,0.9532222222222222
20191120_1332_outbred-A-2_L_C,open_field,q1,600,17171,18000,0.9539444444444445
20191116_1340_94-1_R_B,open_field,q1,600,17189,18000,0.9549444444444445
20191114_1305_50-2_R_A,novel_object,q1,600,17193,18000,0.9551666666666667
20191115_1538_4-2_L_B,novel_object,q1,600,16047,16800,0.9551785714285714
20191120_1525_outbred-3_L_C,novel_object,q1,600,17207,18000,0.9559444444444445
20191115_1128_123-2_R_A,novel_object,q1,600,17213,18000,0.9562777777777778
20191114_1440_70-2_R_A,open_field,q2,600,17217,18000,0.9565
20191118_1242_134-1_L_B,novel_object,q1,600,17222,18000,0.9567777777777777
20191121_1325_outbred-3_L_C,novel_object,q2,600,17236,18000,0.9575555555555556
20191121_1101_iCab_L_C,novel_object,q2,600,17239,18000,0.9577222222222223
20191117_1218_29-1_L_B,novel_object,q1,600,17248,18000,0.9582222222222222
20191111_1627_11-1_L_A,open_field,q1,600,17251,18000,0.9583888888888888
20191112_1554_43-2_L_A,novel_object,q2,600,17254,18000,0.9585555555555556
20191121_1239_outbred-1_R_C,open_field,q3,600,17257,18000,0.9587222222222223
20191121_1325_outbred-3_L_C,open_field,q2,600,17264,18000,0.9591111111111111
20191119_1043_iCab_R_B,open_field,q2,600,17277,18000,0.9598333333333333
20191112_1722_135-2_L_A,novel_object,q1,600,17280,18000,0.96
20191117_1245_70-2_L_B,open_field,q2,600,17288,18000,0.9604444444444444
20191117_1034_iCab_R_B,novel_object,q2,600,17290,18000,0.9605555555555556
20191120_1401_outbred-A-4_L_C,novel_object,q3,600,17309,18000,0.9616111111111111
20191119_1552_22-1_R_C,novel_object,q2,600,17312,18000,0.9617777777777777
20191120_1006_iCab_L_C,open_field,q2,600,17317,18000,0.9620555555555556
20191120_1525_outbred-3_L_C,open_field,q4,600,17329,18000,0.9627222222222223
20191117_1340_4-1_L_B,open_field,q1,600,17333,18000,0.9629444444444445
20191121_1352_outbred-A-3_L_C,open_field,q2,600,17334,18000,0.963
20191117_1523_69-2_R_B,open_field,q1,600,17344,18000,0.9635555555555556
