20191111_1527_5-1_L_A__novel_object__q1,int_max_160_area_min_25
20191111_1527_5-1_L_A__novel_object__q2,int_max_160_area_min_25
20191111_1527_5-1_L_A__novel_object__q3,int_max_140
20191111_1527_5-1_L_A__novel_object__q4,int_max_160_area_min_25
20191111_1527_5-1_L_A__open_field__q1,no_bg_sub_area_min_10
20191111_1527_5-1_L_A__open_field__q2,default
20191111_1527_5-1_L_A__open_field__q3,no_bg_sub_area_min_10
20191111_1527_5-1_L_A__open_field__q4,default
20191111_1558_10-1_L_A__novel_object__q1,int_max_160_area_min_25
20191111_1558_10-1_L_A__novel_object__q2,int_max_160_area_min_25
20191111_1558_10-1_L_A__novel_object__q3,int_max_160_area_min_25
20191111_1558_10-1_L_A__novel_object__q4,int_max_160_area_min_25
20191111_1558_10-1_L_A__open_field__q1,no_bg_sub_area_min_10
20191111_1558_10-1_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150
20191111_1558_10-1_L_A__open_field__q3,no_bg_sub_area_min_10
20191111_1558_10-1_L_A__open_field__q4,no_bg_sub_area_min_10
20191111_1627_11-1_L_A__novel_object__q1,int_max_160_area_min_25
20191111_1627_11-1_L_A__novel_object__q2,int_max_160_area_min_25
20191111_1627_11-1_L_A__novel_object__q3,no_bg_sub_int_max_180_area_min_100
20191111_1627_11-1_L_A__novel_object__q4,int_max_160_area_min_25
20191111_1627_11-1_L_A__open_field__q1,no_bg_sub_area_min_10
20191111_1627_11-1_L_A__open_field__q2,no_bg_sub_area_min_10
20191111_1627_11-1_L_A__open_field__q3,no_bg_sub_area_min_10
20191111_1627_11-1_L_A__open_field__q4,no_bg_sub_area_min_10
20191111_1655_11-2_L_A__novel_object__q1,area_min_25
20191111_1655_11-2_L_A__novel_object__q2,area_min_25
20191111_1655_11-2_L_A__novel_object__q3,int_max_150
20191111_1655_11-2_L_A__novel_object__q4,no_bg_sub
20191111_1655_11-2_L_A__open_field__q1,no_bg_sub_area_min_10
20191111_1655_11-2_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150
20191111_1655_11-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150
20191111_1655_11-2_L_A__open_field__q4,no_bg_sub_area_min_10
20191111_1724_iCab_L_A__novel_object__q1,int_max_160_area_min_25
20191111_1724_iCab_L_A__novel_object__q2,int_max_160_area_min_25
20191111_1724_iCab_L_A__novel_object__q3,int_max_160_area_min_25
20191111_1724_iCab_L_A__novel_object__q4,int_max_160_area_min_25
20191111_1724_iCab_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150
20191111_1724_iCab_L_A__open_field__q2,no_bg_sub_area_min_10
20191111_1724_iCab_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150
20191111_1724_iCab_L_A__open_field__q4,no_bg_sub_area_min_10
20191112_0948_4-2_L_A__novel_object__q1,int_max_140
20191112_0948_4-2_L_A__novel_object__q2,int_max_160_area_min_25
20191112_0948_4-2_L_A__novel_object__q3,int_max_140
20191112_0948_4-2_L_A__novel_object__q4,no_bg_sub_int_max_160
20191112_0948_4-2_L_A__open_field__q1,no_bg_sub_area_min_10_int_max_150
20191112_0948_4-2_L_A__open_field__q2,no_bg_sub_area_min_10
20191112_0948_4-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150
